Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
Advanced Materials Technologies;2365709X;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.680;£3.110;€ 3.860
Advanced Optical Materials;21951071;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Advanced Quantum Technologies;25119044;Quantum Physics & Field Theory;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Advanced Sustainable Systems;23667486;General & Introductory Environmental Studies;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Advanced Synthesis & Catalysis;16154169;Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.920
Advanced Theory and Simulations;25130390;Theory, Modeling & Simulation;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Advanced Therapeutics;23663987;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Advances in Digestive Medicine;23519800;Gastrointestinal Surgery;CC BY, CC BY-NC or CC BY-NC-ND;$2.100;£1.680;€ 1.890
AEM Education and Training;24725390;Emergency Medicine & Trauma;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
African Development Review;14678268;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.490;€ 3.090
African Journal of Ecology;13652028;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.550;£2.350;€ 2.940
Aggressive Behavior;10982337;Brain & Behavior: Physiological Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.600;£2.410;€ 3.010
Agribusiness;15206297;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.500;€ 3.230
Agricultural and Forest Entomology;14619563;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.410;£2.940;€ 3.680
Agricultural Economics;15740862;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.730;€ 3.350
Agronomy Journal;14350645;Crops;CC BY, CC BY-NC or CC BY-NC-ND;$1.800;£1.410;€ 1.630
AIChE Journal;15475905;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$4.940;£3.290;€ 4.120
Alcohol, Clinical and Experimental Research;29937175;Alcoholism and alcohol-related disorders;CC BY, CC BY-NC or CC BY-NC-ND;$4.110;£2.750;€ 3.450
Alimentary Pharmacology & Therapeutics;13652036;Gastroenterology & Hepatology;CC BY*, CC BY-NC or CC BY-NC-ND;$5.250;£3.480;€ 4.400
Allergy;13989995;Allergy & Clinical Immunology;CC BY*, CC BY-NC or CC BY-NC-ND;$5.300;£3.940;€ 4.660
American Anthropologist;15481433;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
American Business Law Journal;17441714;Commercial Law;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
American Ethnologist;15481425;Anthropological Theory & Methods / Ethnography;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
American Journal of Agricultural Economics;14678276;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
American Journal of Biological Anthropology;26927691;Biological Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$4.840;£3.240;€ 4.020
American Journal of Botany;15372197;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.660;£1.990;€ 2.390
American Journal of Community Psychology;15732770;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.620;£2.380;€ 3.020
American Journal of Hematology;10968652;Hematology;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.630;€ 4.550
American Journal of Human Biology;15206300;Human Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.020;€ 3.810
American Journal of Industrial Medicine;10970274;Environmental & Occupational Health;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
American Journal of Medical Genetics Part A;15524833;Medical Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$4.710;£3.150;€ 3.920
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics;1552485X;Medical Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
American Journal of Medical Genetics Part C: Seminars in Medical Genetics;15524876;Medical Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
American Journal of Political Science;15405907;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.730;€ 3.430
American Journal of Primatology;10982345;Comparative Biology (Botany & Zoology);CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.890;€ 3.610
American Journal of Reproductive Immunology;16000897;Allergy & Clinical Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$4.460;£2.990;€ 3.690
Anaesthesia;13652044;Anesthesia & Pain Management;CC BY*, CC BY-NC or CC BY-NC-ND;$4.970;£3.350;€ 4.130
Anaesthesia Reports;26373726;Anesthesia & Pain Management;CC BY, CC BY-NC or CC BY-NC-ND;$1.300;£960;€ 1.130
Analyses of Social Issues and Public Policy;15302415;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Analysis & Sensing;26292742;General Chemistry;CC BY*, CC BY-NC or CC BY-NC-ND;$3.840;£2.870;€ 3.190
Analytic Philosophy;2153960X;Analytic Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Anatomia, Histologia, Embryologia;14390264;Anatomy & Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$3.850;£2.580;€ 3.190
Anatomical Sciences Education;19359780;Anatomy & Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
Andrology;20472927;Andrology;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Angewandte Chemie;15213757;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$5.790;£3.860;€ 4.650
Angewandte Chemie International Edition;15213773;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$5.510;£3.680;€ 4.430
Animal Conservation;14691795;Conservation Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Animal Genetics;13652052;Animal Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 2.970
Animal Science Journal;17400929;Animal Breeding & Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$4.000;£2.650;€ 3.350
Annalen der Physik;15213889;General Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.600;€ 3.200
Annals of Anthropological Practice;21539588;North American Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.710
Annals of Applied Biology;17447348;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Annals of Human Genetics;14691809;Human Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.190;£2.110;€ 2.650
Annals of Neurology;15318249;Neurology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.700;£3.150;€ 3.890
Annals of Public and Cooperative Economics;14678292;Public Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.730
Annals of the New York Academy of Sciences;17496632;General & Introductory Life Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$5.080;£3.680;€ 4.380
Anthropology & Education Quarterly;15481492;Social & Cultural Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Anthropology and Humanism;15481409;Anthropology Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Anthropology of Consciousness;15563537;Anthropology of Religion;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Anthropology of Work Review;15481417;Economic & Political Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.710
Anthropology Today;14678322;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Antipode;14678330;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.380;€ 2.950
ANZ Journal of Surgery;14452197;Surgery & Surgical Specialties;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.610;€ 3.230
AORN Journal;18780369;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.360;£2.260;€ 2.810
APMIS;16000463;Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$4.460;£2.960;€ 3.730
Applied Cognitive Psychology;10990720;Cognitive Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Applied Economic Perspectives and Policy;20405804;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Applied Organometallic Chemistry;10990739;Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Applied Psychology;14640597;Applied Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.540;€ 3.190
Applied Psychology: Health and Well-Being;17580854;Applied Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.610;€ 3.290
Applied Research;27024288;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.500;£2.750;€ 3.150
Applied Stochastic Models in Business and Industry;15264025;Business Statistics & Math;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Applied Vegetation Science;1654109X;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.600;£2.400;€ 3.000
Aquatic Conservation: Marine and Freshwater Ecosystems;10990755;Aquatic Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$4.730;£3.170;€ 3.930
Arabian Archaeology and Epigraphy;16000471;Middle & Near Eastern Archaeology;CC BY, CC BY-NC or CC BY-NC-ND;$2.820;£1.880;€ 2.330
Archaeological Papers of the American Anthropological Association;15518248;Archaeological Methods & Theory;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Archaeological Prospection;10990763;General & Introductory Earth Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.670;€ 3.300
Archaeology in Oceania;18344453;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.670
Archaeometry;14754754;Archaeological Methods & Theory;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.750
Archiv der Pharmazie;15214184;Pharmaceutical & Medicinal Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Archives of Insect Biochemistry and Physiology;15206327;Animal Science Methods;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
Area;14754762;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.140
Arthritis & Rheumatology;23265205;Rheumatology;CC BY*, CC BY-NC or CC BY-NC-ND;$5.190;£3.890;€ 4.540
Arthritis Care & Research;21514658;Rheumatology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.640;£3.090;€ 3.870
Artificial Organs;15251594;Design of Artificial Organs;CC BY, CC BY-NC or CC BY-NC-ND;$3.990;£2.680;€ 3.310
Asia Pacific Journal of Human Resources;17447941;General & Introductory Business & Management;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Asia Pacific Viewpoint;14678373;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.320;€ 2.870
Asian Economic Journal;14678381;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.810;£1.880;€ 2.370
Asian Economic Policy Review;17483131;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.710;£1.790;€ 2.280
Asian Journal of Control;19346093;Control Systems Technology;CC BY, CC BY-NC or CC BY-NC-ND;$2.850;£1.900;€ 2.370
Asian Journal of Endoscopic Surgery;17585910;Surgery & Surgical Specialties;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.670
Asian Journal of Organic Chemistry;21935815;Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Asian Journal of Social Psychology;1467839X;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.100;€ 2.610
Asian Politics & Policy;19430787;Asian Politics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Asian Social Work and Policy Review;17531411;Social Work;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Asian-Pacific Economic Literature;14678411;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Asia-Pacific Economic History Review;2832157X;Economic History;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Asia-Pacific Journal of Chemical Engineering;19322143;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Asia-Pacific Journal of Clinical Oncology;17437563;Oncology & Radiotherapy;CC BY*, CC BY-NC or CC BY-NC-ND;$3.700;£2.510;€ 3.070
Asia-Pacific Journal of Financial Studies;20416156;General Finance & Investments;CC BY, CC BY-NC or CC BY-NC-ND;$2.810;£1.880;€ 2.320
Asia-Pacific Psychiatry;17585872;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
Astronomische Nachrichten;15213994;Astronomy & Astrophysics;CC BY, CC BY-NC or CC BY-NC-ND;$2.810;£1.890;€ 2.350
Austral Ecology;14429993;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.310;£2.210;€ 2.780
Austral Entomology;20521758;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Australasian Journal of Dermatology;14400960;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.160;£2.750;€ 3.490
Australasian Journal of Ultrasound in Medicine;22050140;Radiology & Imaging;CC BY;$3.550;£2.320;€ 2.980
Australasian Journal on Ageing;17416612;Geriatric Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.560;€ 3.220
Australian & New Zealand Journal of Statistics;1467842X;General & Introductory Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$2.970;£2.000;€ 2.490
Australian Accounting Review;18352561;General & Introductory Accounting;CC BY, CC BY-NC or CC BY-NC-ND;$2.920;£1.930;€ 2.430
Australian and New Zealand Journal of Family Therapy;14678438;Family Therapy;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Australian and New Zealand Journal of Obstetrics and Gynaecology;1479828X;Obstetrics & Gynecology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.610;€ 3.290
Australian Dental Journal;18347819;General Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$2.850;£1.900;€ 2.370
Australian Economic Papers;14678454;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Australian Endodontic Journal;17474477;Endodontics;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.100;€ 2.610
Australian Journal of Politics and History;14678497;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£2.160;€ 2.450
Australian Journal of Public Administration;14678500;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.100;€ 2.610
Australian Journal of Rural Health;14401584;Health & Health Care Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Australian Journal of Social Issues;18394655;General & Introductory Social Policy & Welfare;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Australian Occupational Therapy Journal;14401630;Occupational Therapy;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Australian Veterinary Journal;17510813;General & Introductory Veterinary Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.870
Autism Research;19393806;Biological Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$4.740;£3.170;€ 3.960
AWWA Water Science;25778161;Water Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.000;£2.000;€ 2.500
Basic & Clinical Pharmacology & Toxicology;17427843;Pharmacology & Pharmaceutical Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.860
Basin Research;13652117;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$4.310;£2.870;€ 3.580
Batteries & Supercaps;25666223;Batteries & Fuel Cells;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£3.010;€ 3.350
Behavioral Interventions;1099078X;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Behavioral Sciences & the Law;10990798;Forensic Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Berichte zur Wissenschaftsgeschichte;15222365;Process Development;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Biochemistry and Molecular Biology Education;15393429;Biochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Bioelectromagnetics;1521186X;Biophysics;CC BY, CC BY-NC or CC BY-NC-ND;$3.290;£2.170;€ 2.760
BioEssays;15211878;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$5.330;£3.570;€ 4.430
Bioethics;14678519;Bioethics & Medical Ethics;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.020;€ 3.810
BioFactors;18728081;Biochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Biofuels, Bioproducts and Biorefining;19321031;Bioenergy;CC BY, CC BY-NC or CC BY-NC-ND;$4.530;£3.020;€ 4.080
Biological Reviews;1469185X;General & Introductory Life Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$5.390;£3.620;€ 4.480
Biology of the Cell;1768322X;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.510;€ 3.110
Biomedical Chromatography;10990801;Chromatography / Separation Techniques;CC BY, CC BY-NC or CC BY-NC-ND;$3.710;£2.480;€ 3.120
Biometrical Journal;15214036;Biometrics;CC BY, CC BY-NC or CC BY-NC-ND;$3.740;£2.520;€ 3.130
Biopharmaceutics & Drug Disposition;1099081X;Drug Formulation & Delivery;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Biopolymers;10970282;Biopolymers;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Biotechnology and Applied Biochemistry;14708744;Biotechnology (Life Sciences);CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Biotechnology and Bioengineering;10970290;Biotechnology (Life Sciences);CC BY, CC BY-NC or CC BY-NC-ND;$5.060;£3.330;€ 4.250
Biotechnology Journal;18607314;Biotechnology (Life Sciences);CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.930
Biotechnology Progress;15206033;Biotechnology (Life Sciences);CC BY, CC BY-NC or CC BY-NC-ND;$4.160;£2.810;€ 3.480
Biotropica;17447429;Tropical Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$2.630;£1.680;€ 2.100
Bipolar Disorders;13995618;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$4.730;£3.140;€ 3.910
Birth;1523536X;Women's Health Nursing;CC BY, CC BY-NC or CC BY-NC-ND;$4.850;£3.260;€ 4.030
Birth Defects Research;24721727;Medical Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.510;€ 3.070
BJOG: An International Journal of Obstetrics and Gynaecology;14710528;Obstetrics & Gynecology;CC BY, CC BY-NC or CC BY-NC-ND;$5.190;£3.460;€ 4.330
BJU International;1464410X;Urology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.770;£3.200;€ 3.990
British Educational Research Journal;14693518;General & Introductory Education;CC BY, CC BY-NC or CC BY-NC-ND;$4.120;£2.730;€ 3.450
British Journal of Clinical Pharmacology;13652125;Pharmacology & Pharmaceutical Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$4.780;£3.400;€ 4.100
British Journal of Clinical Psychology;20448260;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.140
British Journal of Developmental Psychology;2044835X;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
British Journal of Educational Psychology;20448279;Educational & School Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.140
British Journal of Educational Technology;14678535;Technology & Education (K-12);CC BY*, CC BY-NC or CC BY-NC-ND;$4.250;£2.840;€ 3.570
British Journal of Haematology;13652141;Hematology;CC BY*, CC BY-NC or CC BY-NC-ND;$5.190;£3.730;€ 4.430
British Journal of Health Psychology;20448287;Health & Behavioral Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$4.240;£2.810;€ 3.550
British Journal of Industrial Relations;14678543;Industrial & Labor Relations;CC BY, CC BY-NC or CC BY-NC-ND;$3.860;£2.550;€ 3.260
British Journal of Learning Disabilities;14683156;Intellectual Disability;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.090;€ 2.620
British Journal of Management;14678551;Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.900;£2.590;€ 3.240
British Journal of Mathematical and Statistical Psychology;20448317;Psychological Methods, Research & Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
British Journal of Pharmacology;14765381;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.400;€ 4.100
British Journal of Psychology;20448295;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.490;€ 3.170
British Journal of Psychotherapy;17520118;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
British Journal of Social Psychology;20448309;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.970;£2.680;€ 3.300
British Journal of Special Education;14678578;Special Educational Needs;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Bulletin of Economic Research;14678586;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Bulletin of Latin American Research;14709856;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.430;£2.300;€ 2.880
Bulletin of the Korean Chemical Society;12295949;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Bulletin of the London Mathematical Society;14692120;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.930;£2.620;€ 3.280
Business and Society Review;14678594;Business & Society;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Business Ethics, the Environment & Responsibility;26946424;Business Ethics;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Business Strategy and Development;25723170;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.500;€ 2.950
Business Strategy and the Environment;10990836;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Canadian Geographies / Les géographies canadiennes;15410064;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$2.970;£2.000;€ 2.490
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration;19364490;Management;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie;17447976;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Canadian Journal of Economics/Revue canadienne d'économique;15405982;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.040;€ 2.610
